establishment_status,inspection_date,severity,inspection_year
Pass,2022-04-05,,2022
Pass,2023-03-07,M - Minor,2023
Pass,2023-03-07,M - Minor,2023
Pass,2023-08-25,,2023
Pass,2022-04-29,M - Minor,2022
Pass,2022-05-26,M - Minor,2022
Pass,2022-05-26,M - Minor,2022
Pass,2022-05-26,M - Minor,2022
Pass,2022-08-10,C - Crucial,2022
Pass,2022-08-10,M - Minor,2022
Pass,2022-08-10,S - Significant,2022
Pass,2022-08-10,M - Minor,2022
Pass,2022-08-10,S - Significant,2022
Pass,2022-08-18,,2022
Pass,2023-04-04,S - Significant,2023
Pass,2023-04-04,M - Minor,2023
Pass,2023-04-04,S - Significant,2023
Pass,2023-04-04,M - Minor,2023
Pass,2023-04-04,S - Significant,2023
Pass,2023-04-04,M - Minor,2023
Pass,2023-04-04,NA - Not Applicable,2023
Pass,2023-04-04,C - Crucial,2023
Pass,2023-04-04,S - Significant,2023
Pass,2023-04-13,NA - Not Applicable,2023
Pass,2023-04-13,M - Minor,2023
Pass,2023-07-24,M - Minor,2023
Pass,2023-07-24,M - Minor,2023
Pass,2023-07-24,NA - Not Applicable,2023
Pass,2023-07-24,M - Minor,2023
Pass,2023-10-31,M - Minor,2023
Pass,2023-10-31,S - Significant,2023
Pass,2023-10-31,M - Minor,2023
Pass,2023-10-31,NA - Not Applicable,2023
Pass,2023-10-31,S - Significant,2023
Pass,2022-11-21,,2022
Pass,2022-11-07,,2022
Pass,2023-07-12,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2023-03-14,,2023
Pass,2023-06-26,,2023
Pass,2023-11-16,,2023
Pass,2022-08-19,M - Minor,2022
Pass,2023-06-20,S - Significant,2023
Pass,2023-06-20,S - Significant,2023
Pass,2023-06-20,M - Minor,2023
Pass,2023-06-20,M - Minor,2023
Pass,2022-11-30,NA - Not Applicable,2022
Pass,2023-05-01,,2023
Pass,2022-08-22,S - Significant,2022
Pass,2022-08-22,M - Minor,2022
Pass,2022-08-22,S - Significant,2022
Pass,2022-08-22,S - Significant,2022
Pass,2022-09-07,M - Minor,2022
Pass,2023-04-03,NA - Not Applicable,2023
Pass,2023-12-08,NA - Not Applicable,2023
Pass,2023-12-08,M - Minor,2023
Pass,2022-08-12,M - Minor,2022
Pass,2023-11-07,,2023
Pass,2022-09-13,S - Significant,2022
Pass,2022-09-13,S - Significant,2022
Pass,2022-09-13,M - Minor,2022
Pass,2022-09-23,,2022
Pass,2023-04-03,,2023
Pass,2023-08-14,,2023
Pass,2022-12-01,,2022
Pass,2022-09-08,M - Minor,2022
Pass,2023-01-17,,2023
Pass,2023-05-08,,2023
Pass,2023-10-03,S - Significant,2023
Pass,2023-10-03,M - Minor,2023
Pass,2023-02-07,,2023
Pass,2023-06-02,,2023
Pass,2023-10-05,M - Minor,2023
Pass,2023-10-05,M - Minor,2023
Pass,2023-10-05,M - Minor,2023
Pass,2023-10-05,S - Significant,2023
Pass,2023-10-05,M - Minor,2023
Pass,2023-10-06,,2023
Pass,2024-01-18,M - Minor,2024
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-24,,2023
Pass,2023-05-18,,2023
Pass,2023-09-15,S - Significant,2023
Pass,2022-10-07,S - Significant,2022
Pass,2022-10-07,M - Minor,2022
Pass,2022-10-07,M - Minor,2022
Pass,2022-10-07,S - Significant,2022
Pass,2022-10-07,M - Minor,2022
Pass,2022-10-07,M - Minor,2022
Pass,2022-10-07,NA - Not Applicable,2022
Pass,2023-08-09,S - Significant,2023
Pass,2023-08-09,S - Significant,2023
Pass,2023-08-09,S - Significant,2023
Pass,2023-08-09,M - Minor,2023
Pass,2023-08-09,M - Minor,2023
Pass,2023-08-09,S - Significant,2023
Pass,2023-08-09,NA - Not Applicable,2023
Pass,2023-08-10,,2023
Pass,2023-12-21,S - Significant,2023
Pass,2023-12-21,M - Minor,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-12-13,S - Significant,2022
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-05-25,,2022
Pass,2023-01-17,,2023
Pass,2023-05-23,,2023
Pass,2023-09-29,,2023
Pass,2022-09-07,,2022
Pass,2023-01-27,,2023
Pass,2023-05-08,,2023
Pass,2023-09-19,,2023
Pass,2024-01-12,,2024
Pass,2022-07-14,M - Minor,2022
Pass,2022-09-29,M - Minor,2022
Pass,2022-09-29,M - Minor,2022
Pass,2023-02-22,S - Significant,2023
Pass,2023-02-22,M - Minor,2023
Pass,2023-02-22,NA - Not Applicable,2023
Pass,2023-08-14,,2023
Pass,2022-09-22,S - Significant,2022
Pass,2022-09-22,C - Crucial,2022
Pass,2022-09-22,S - Significant,2022
Pass,2022-09-22,S - Significant,2022
Pass,2022-09-26,,2022
Pass,2023-06-20,M - Minor,2023
Pass,2023-03-23,,2023
Pass,2023-10-17,,2023
Pass,2022-11-04,M - Minor,2022
Pass,2022-11-04,M - Minor,2022
Pass,2023-01-19,S - Significant,2023
Pass,2023-07-07,,2023
Pass,2024-01-09,S - Significant,2024
Pass,2024-01-12,,2024
Pass,2022-06-01,,2022
Pass,2022-11-08,,2022
Pass,2024-01-15,,2024
Pass,NA,,NA
Pass,2022-10-27,M - Minor,2022
Pass,2023-03-30,M - Minor,2023
Pass,2023-08-23,,2023
Pass,2023-11-24,,2023
Pass,2022-09-23,M - Minor,2022
Pass,2023-02-16,C - Crucial,2023
Pass,2023-02-16,C - Crucial,2023
Pass,2023-02-16,C - Crucial,2023
Pass,2023-02-21,,2023
Pass,2023-07-31,M - Minor,2023
Pass,2023-07-31,S - Significant,2023
Pass,2023-07-31,S - Significant,2023
