establishment_status,inspection_date,severity
Pass,2022-04-05,
Pass,2023-03-07,M - Minor
Pass,2023-03-07,M - Minor
Pass,2023-08-25,
Pass,2022-04-29,M - Minor
Pass,2022-05-26,M - Minor
Pass,2022-05-26,M - Minor
Pass,2022-05-26,M - Minor
Pass,2022-08-10,M - Minor
Pass,2022-08-10,C - Crucial
Pass,2022-08-10,M - Minor
Pass,2022-08-10,S - Significant
Pass,2022-08-10,S - Significant
Pass,2022-08-18,
Pass,2023-04-04,S - Significant
Pass,2023-04-04,M - Minor
Pass,2023-04-04,NA - Not Applicable
Pass,2023-04-04,C - Crucial
Pass,2023-04-04,S - Significant
Pass,2023-04-04,S - Significant
Pass,2023-04-04,S - Significant
Pass,2023-04-04,M - Minor
Pass,2023-04-04,M - Minor
Pass,2023-04-13,NA - Not Applicable
Pass,2023-04-13,M - Minor
Pass,2023-07-24,M - Minor
Pass,2023-07-24,M - Minor
Pass,2023-07-24,M - Minor
Pass,2023-07-24,NA - Not Applicable
Pass,2023-10-31,M - Minor
Pass,2023-10-31,S - Significant
Pass,2023-10-31,M - Minor
Pass,2023-10-31,NA - Not Applicable
Pass,2023-10-31,S - Significant
Pass,2022-11-21,
Pass,2022-11-07,
Pass,2023-07-12,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2023-03-14,
Pass,2023-06-26,
Pass,2023-11-16,
Pass,2022-08-19,M - Minor
Pass,2023-06-20,M - Minor
Pass,2023-06-20,S - Significant
Pass,2023-06-20,S - Significant
Pass,2023-06-20,M - Minor
Pass,2022-11-30,NA - Not Applicable
Pass,2023-05-01,
Pass,2022-08-22,S - Significant
Pass,2022-08-22,S - Significant
Pass,2022-08-22,S - Significant
Pass,2022-08-22,M - Minor
Pass,2022-09-07,M - Minor
Pass,2023-04-03,NA - Not Applicable
Pass,2023-12-08,NA - Not Applicable
Pass,2023-12-08,M - Minor
Pass,2022-08-12,M - Minor
Pass,2023-11-07,
Pass,2022-09-13,S - Significant
Pass,2022-09-13,M - Minor
Pass,2022-09-13,S - Significant
Pass,2022-09-23,
Pass,2023-04-03,
Pass,2023-08-14,
Pass,2022-12-01,
Pass,2022-09-08,M - Minor
Pass,2023-01-17,
Pass,2023-05-08,
Pass,2023-10-03,S - Significant
Pass,2023-10-03,M - Minor
Pass,2023-02-07,
Pass,2023-06-02,
Pass,2023-10-05,M - Minor
Pass,2023-10-05,M - Minor
Pass,2023-10-05,M - Minor
Pass,2023-10-05,S - Significant
Pass,2023-10-05,M - Minor
Pass,2023-10-06,
Pass,2024-01-18,M - Minor
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-24,
Pass,2023-05-18,
Pass,2023-09-15,S - Significant
Pass,2022-10-07,M - Minor
Pass,2022-10-07,S - Significant
Pass,2022-10-07,M - Minor
Pass,2022-10-07,M - Minor
Pass,2022-10-07,S - Significant
Pass,2022-10-07,M - Minor
Pass,2022-10-07,NA - Not Applicable
Pass,2023-08-09,M - Minor
Pass,2023-08-09,S - Significant
Pass,2023-08-09,NA - Not Applicable
Pass,2023-08-09,M - Minor
Pass,2023-08-09,S - Significant
Pass,2023-08-09,S - Significant
Pass,2023-08-09,S - Significant
Pass,2023-08-10,
Pass,2023-12-21,S - Significant
Pass,2023-12-21,M - Minor
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-12-13,S - Significant
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-05-25,
Pass,2023-01-17,
Pass,2023-05-23,
Pass,2023-09-29,
Pass,2022-09-07,
Pass,2023-01-27,
Pass,2023-05-08,
Pass,2023-09-19,
Pass,2024-01-12,
Pass,2022-07-14,M - Minor
Pass,2022-09-29,M - Minor
Pass,2022-09-29,M - Minor
Pass,2023-02-22,S - Significant
Pass,2023-02-22,M - Minor
Pass,2023-02-22,NA - Not Applicable
Pass,2023-08-14,
Pass,2022-09-22,C - Crucial
Pass,2022-09-22,S - Significant
Pass,2022-09-22,S - Significant
Pass,2022-09-22,S - Significant
Pass,2022-09-26,
Pass,2023-06-20,M - Minor
Pass,2023-03-23,
Pass,2023-10-17,
Pass,2022-11-04,M - Minor
