establishment_status,inspection_date
Pass,2022-04-05
Pass,2023-03-07
Pass,2023-03-07
Pass,2023-08-25
Pass,2022-04-29
Pass,2022-05-26
Pass,2022-05-26
Pass,2022-05-26
Pass,2022-08-10
Pass,2022-08-10
Pass,2022-08-10
Pass,2022-08-10
Pass,2022-08-10
Pass,2022-08-18
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-04
Pass,2023-04-13
Pass,2023-04-13
Pass,2023-07-24
Pass,2023-07-24
Pass,2023-07-24
Pass,2023-07-24
Pass,2023-10-31
Pass,2023-10-31
Pass,2023-10-31
Pass,2023-10-31
Pass,2023-10-31
Pass,2022-11-21
Pass,2022-11-07
Pass,2023-07-12
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2023-03-14
Pass,2023-06-26
Pass,2023-11-16
Pass,2022-08-19
Pass,2023-06-20
Pass,2023-06-20
Pass,2023-06-20
Pass,2023-06-20
Pass,2022-11-30
Pass,2023-05-01
Pass,2022-08-22
Pass,2022-08-22
Pass,2022-08-22
Pass,2022-08-22
Pass,2022-09-07
Pass,2023-04-03
Pass,2023-12-08
Pass,2023-12-08
Pass,2022-08-12
Pass,2023-11-07
Pass,2022-09-13
Pass,2022-09-13
Pass,2022-09-13
Pass,2022-09-23
Pass,2023-04-03
Pass,2023-08-14
Pass,2022-12-01
Pass,2022-09-08
Pass,2023-01-17
Pass,2023-05-08
Pass,2023-10-03
Pass,2023-10-03
Pass,2023-02-07
Pass,2023-06-02
Pass,2023-10-05
Pass,2023-10-05
Pass,2023-10-05
Pass,2023-10-05
Pass,2023-10-05
Pass,2023-10-06
Pass,2024-01-18
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-24
Pass,2023-05-18
Pass,2023-09-15
Pass,2022-10-07
Pass,2022-10-07
Pass,2022-10-07
Pass,2022-10-07
Pass,2022-10-07
Pass,2022-10-07
Pass,2022-10-07
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-09
Pass,2023-08-10
Pass,2023-12-21
Pass,2023-12-21
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-12-13
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-05-25
Pass,2023-01-17
Pass,2023-05-23
Pass,2023-09-29
Pass,2022-09-07
Pass,2023-01-27
Pass,2023-05-08
Pass,2023-09-19
Pass,2024-01-12
Pass,2022-07-14
Pass,2022-09-29
Pass,2022-09-29
Pass,2023-02-22
Pass,2023-02-22
Pass,2023-02-22
Pass,2023-08-14
Pass,2022-09-22
Pass,2022-09-22
Pass,2022-09-22
Pass,2022-09-22
Pass,2022-09-26
Pass,2023-06-20
Pass,2023-03-23
Pass,2023-10-17
Pass,2022-11-04
Pass,2022-11-04
Pass,2023-01-19
Pass,2023-07-07
Pass,2024-01-09
Pass,2024-01-12
Pass,2022-06-01
Pass,2022-11-08
Pass,2024-01-15
Pass,NA
Pass,2022-10-27
Pass,2023-03-30
Pass,2023-08-23
Pass,2023-11-24
Pass,2022-09-23
Pass,2023-02-16
Pass,2023-02-16
Pass,2023-02-16
Pass,2023-02-21
Pass,2023-07-31
Pass,2023-07-31
Pass,2023-07-31
Pass,2023-12-04
Pass,2023-12-04
Pass,2022-06-13
Pass,2022-06-13
Pass,2022-06-13
Pass,2022-06-13
Pass,2022-06-13
Pass,2022-06-13
Pass,2022-06-13
Pass,2023-04-03
Pass,2023-04-03
Pass,2023-04-03
Pass,2023-07-01
Pass,2023-07-01
Pass,2023-07-01
Pass,2023-12-01
Pass,2023-12-01
Pass,2022-07-04
Pass,2023-04-17
Pass,2023-08-01
Pass,2022-06-15
Pass,2022-12-29
Pass,2023-05-12
Pass,2023-12-27
Pass,2022-08-08
Pass,2023-01-17
Pass,2023-07-07
Pass,2024-01-16
Pass,2022-06-28
Pass,2023-01-09
Pass,2023-07-05
Pass,2022-05-26
Pass,2022-05-26
Pass,2022-10-27
Pass,2022-10-27
Pass,2022-10-27
Pass,2023-03-07
Pass,2023-08-30
Pass,2023-08-30
Pass,2023-08-30
Pass,2023-08-30
Pass,2023-08-30
Pass,2023-09-01
Pass,2022-04-25
Pass,2022-08-02
Pass,2023-01-27
Pass,2023-08-28
Pass,2023-08-28
Pass,2023-08-28
Pass,2023-08-28
Pass,2023-08-28
Pass,2023-11-09
Pass,2022-05-05
Pass,2023-03-15
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-24
Pass,2023-08-28
Pass,2022-06-27
Pass,2022-06-27
Pass,2022-08-29
Pass,2023-03-20
Pass,2023-11-27
Pass,2023-11-27
Pass,2022-06-02
Pass,2023-02-24
Pass,2023-08-03
Pass,2022-08-11
Pass,2023-04-14
Pass,2023-11-13
Pass,2023-04-13
Pass,2022-06-09
Pass,2023-04-25
Pass,2023-04-25
Pass,2023-04-25
Pass,2023-04-25
Pass,2023-04-28
Pass,2023-09-28
Pass,2023-09-28
Pass,2023-09-28
Pass,2023-09-28
Pass,2023-09-28
Pass,2023-10-06
Pass,2022-10-20
Pass,2022-10-26
Pass,2023-06-19
Pass,2024-01-03
Pass,2023-02-27
Pass,2023-05-08
Pass,2023-10-16
Pass,2023-10-16
Pass,2023-10-16
Pass,2023-10-17
Pass,2022-04-11
Pass,2022-04-11
Pass,2022-04-11
Pass,2022-04-11
Pass,2022-04-11
Pass,2022-04-11
Pass,2022-04-14
Pass,2023-01-23
Pass,2023-05-11
Pass,2023-09-29
Pass,2023-09-29
Pass,2024-01-18
Pass,2024-01-18
Pass,2024-01-18
Pass,2024-01-18
Pass,2024-01-18
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-08-15
Pass,2023-10-10
Pass,2023-07-20
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-09-30
Pass,2022-09-30
Pass,2022-10-07
Pass,2023-05-10
Pass,2023-05-10
Pass,NA
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2023-04-26
Pass,2022-06-16
Pass,2023-04-26
Pass,2023-07-20
Pass,2022-01-24
Pass,2022-01-26
Pass,2022-12-20
Pass,2022-12-20
Pass,2023-04-18
Pass,2023-04-18
Pass,2023-08-21
Pass,2023-08-21
Pass,2023-10-18
Pass,2024-01-16
Pass,2022-05-02
Pass,2023-03-14
Pass,2023-08-25
Pass,2023-08-25
Pass,2023-08-25
Pass,2023-08-25
Pass,2023-08-25
Pass,2024-01-22
Pass,2024-01-22
Pass,2022-08-16
Pass,2023-01-24
Pass,2023-07-17
Pass,2022-08-10
Pass,2023-01-20
Pass,2023-01-20
Pass,2023-07-04
Pass,2023-07-04
Pass,2022-06-29
Pass,2023-02-21
Pass,2023-10-27
Pass,2023-10-27
Pass,2022-05-20
Pass,2022-05-20
Pass,2022-05-20
Pass,2022-05-20
Pass,2022-05-26
Pass,2022-11-22
Pass,2022-11-22
Pass,2022-11-22
Pass,2022-11-22
Pass,2023-04-13
Pass,2023-07-12
